DESCRIPTION,PARKING_ZONE,STALL_TYPE,STATUS,ADDRESS_DESC,CTP_CLASS,DOT,ENFORCEABLE_TIME,NO_PARKING,NO_STOPPING,PARKING_RESTRICTION,TIME_RESTRICTION,CAMERA,OCTANT,line,GLOBALID
SCH757,NA,Parallel,Active,St. John Paul II School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NE,"MULTILINESTRING ((-113.9555387 51.10808, -113.9555636 51.10808, -113.9556098 51.1080799, -113.9558488 51.1080799, -113.9560364 51.1080806, -113.956225 51.1080802))",37d9d5c3-cec6-4bb6-95ab-9c48cfb92e43
SCH760,NA,Parallel,Active,Le Roi Daniels School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0570166 50.9844816, -114.0570278 50.9844816, -114.0571198 50.9844817, -114.0572704 50.9844818, -114.0573871 50.9844818))",c3cf038c-34f2-4cbf-8bdd-076ded4f234d
SCH762,NA,Parallel,Active,Fairview School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0600347 50.98488, -114.0600467 50.9848825, -114.0600541 50.9848839, -114.0600616 50.9848852, -114.0600691 50.9848864, -114.0600766 50.9848874, -114.0600842 50.9848883, -114.0600913 50.984889, -114.0600984 50.9848893, -114.0601056 50.9848892, -114.0601128 50.984889, -114.0601199 50.9848885, -114.0601277 50.9848879, -114.0601354 50.984887, -114.060143 50.9848859, -114.0601507 50.9848846, -114.0601583 50.9848832, -114.0601643 50.9848819, -114.0601702 50.9848804, -114.0601758 50.9848787))",d2e595a0-dbe8-4d6d-bd12-c6fec27e5b1d
SCH769,NA,Parallel,Active,Le Roi Daniels School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.056923 50.9844568, -114.0569332 50.9844629, -114.0569386 50.9844658, -114.0569443 50.9844686, -114.0569487 50.9844709, -114.0569531 50.9844731, -114.0569577 50.9844751, -114.0569626 50.9844767, -114.0569678 50.9844777, -114.056974 50.9844783, -114.0569803 50.984479, -114.0569866 50.9844796, -114.0569928 50.9844803, -114.0569991 50.9844809, -114.0570187 50.9844816, -114.0570086 50.9844813))",75dfcf5e-ef6e-4df0-a28a-20bbda87dea6
SCH77,NA,Parallel,Active,Mountain View Academy,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NE,"MULTILINESTRING ((-113.9857216 51.0887016, -113.9857569 51.0887175, -113.9857951 51.0887306, -113.9858355 51.0887406, -113.9858775 51.0887475, -113.9859206 51.0887512, -113.9862831 51.0887658, -113.986646 51.0887765, -113.9870091 51.0887834, -113.9870558 51.0887821, -113.9871019 51.0887769, -113.9871465 51.0887681, -113.9871889 51.0887556, -113.9872283 51.0887397, -113.9872641 51.0887207, -113.9872956 51.088699))",71acf383-216c-42b3-bd54-6bd5ea7d2abf
SCH785,NA,Parallel,Active,Annie Foote School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NE,"MULTILINESTRING ((-113.9412205 51.0849157, -113.9412452 51.0849199, -113.9412515 51.084921, -113.941283 51.0849215, -113.941318 51.0849188, -113.9413742 51.0849101, -113.941471 51.084896, -113.9415598 51.0848856, -113.9416249 51.0848782, -113.9416426 51.0848765, -113.9416858 51.0848723, -113.9417485 51.0848674, -113.9417913 51.0848646))",d26fd8de-d4e3-4f36-a41e-ffce49de9c48
SCH795,NA,Parallel,Active,Monterey School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NE,"MULTILINESTRING ((-113.930683 51.0781308, -113.9307179 51.0781308, -113.9309701 51.0781307, -113.9311497 51.0781303, -113.9311865 51.0781294, -113.9312203 51.0781235, -113.9312507 51.0781142))",c913d4b5-fc9b-4bec-808a-9b036c4b702f
SCH808,NA,Parallel,Active,Cecil Swanson School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NE,"MULTILINESTRING ((-113.9674365 51.0749492, -113.96745 51.0749439, -113.9674643 51.0749395, -113.9674787 51.0749365, -113.9674937 51.0749347, -113.9674967 51.0749346, -113.9675944 51.0749296))",59d08f43-89bd-4c70-8244-429672957b3f
SCH817,NA,Parallel,Active,Ecole Notre Dame de la Paix School,Lanes (Alleys),E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,,"MULTILINESTRING ((-114.0440114 50.949078, -114.0440433 50.9490336, -114.0441134 50.9490276, -114.0442761 50.9490134, -114.0445695 50.9489891, -114.0447214 50.9490133))",e210b1d4-6d7c-4593-8f55-ab232b5c6997
SCH820,NA,Parallel,Active,South Middle School Campus,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,,"MULTILINESTRING ((-114.0543486 50.9758483, -114.0543662 50.9758482, -114.0543791 50.9758481, -114.0543919 50.9758479, -114.0544048 50.9758475, -114.0544177 50.975847, -114.0544305 50.9758464, -114.0544403 50.9758457, -114.05445 50.9758444, -114.0544595 50.9758426, -114.0544689 50.9758404, -114.0544782 50.9758378, -114.0544859 50.9758351, -114.054493 50.9758322, -114.0544997 50.9758289, -114.054506 50.9758252, -114.054512 50.9758212, -114.0545177 50.9758169, -114.0545229 50.9758125, -114.0545276 50.9758079, -114.0545319 50.9758032, -114.054536 50.9757982, -114.0545389 50.9757944, -114.0545416 50.9757905, -114.0545439 50.9757865, -114.0545457 50.9757825, -114.0545468 50.9757783, -114.0545471 50.9757758))",435a2207-4a50-44c4-9a90-c7d8f0456c9f
SCH827,NA,Parallel,Active,St Matthew School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SE,"MULTILINESTRING ((-114.0592538 50.9781367, -114.0593293 50.9781369, -114.0594674 50.9781363, -114.0596024 50.978136, -114.0596153 50.978136, -114.0596282 50.9781361, -114.0596411 50.9781361, -114.059654 50.9781362, -114.0596668 50.9781362, -114.0596767 50.9781363, -114.0596865 50.9781362, -114.0596963 50.9781362, -114.0597061 50.9781361, -114.0597159 50.978136, -114.0597232 50.9781358))",30f7acd1-a9e4-4c05-b1a1-3631c79eab65
SCH834,NA,Parallel,Active,Haysboro School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0893409 50.9757427, -114.0894449 50.9757432, -114.089454 50.975743, -114.0895028 50.975747, -114.08954 50.9757516, -114.0895885 50.9757597, -114.0896256 50.9757671, -114.0896544 50.9757749, -114.0896762 50.9757809))",9f2c5e94-9a9d-4f35-9959-5bdb2b0373d2
SCH835,NA,Parallel,Active,Haysboro School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.089768 50.9758087, -114.0898024 50.9758196, -114.0898467 50.9758344, -114.0899003 50.9758523))",c8928e78-80df-4db7-b2ae-b4ea47841529
SCH838,KK,Parallel,Active,Saint Augustine Elementary Junior High School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0811209 50.9913785, -114.0811275 50.9913788, -114.0811339 50.9913796, -114.0811402 50.991381, -114.0811461 50.9913828, -114.0811689 50.9913913, -114.081179 50.9913945, -114.0811898 50.9913968, -114.0812009 50.9913982, -114.0812122 50.9913987, -114.0813682 50.9913986, -114.0815777 50.9913985, -114.0815857 50.9913983))",146b00a3-851c-406e-8ea6-9f84915965b4
